year,ac_number,constituency_name,position,candidate,sex,age,category,party,votes_general,votes_postal,votes,vote_share_pct,total_electors,turnout_pct,margin
2016,1,Mekliganj,1,ARGHYA ROY PRADHAN,M,44,SC,AITC,74608,215,74823,41.35,202689,89.28,6637
2016,1,Mekliganj,2,PARESH CHANDRA ADHIKARY,M,63,SC,AIFB,67821,365,68186,37.68,202689,89.28,6637
2016,1,Mekliganj,3,DADHIRAM RAY,M,32,SC,BJP,23313,42,23355,12.91,202689,89.28,6637
2016,1,Mekliganj,4,JYOTISH ROY,M,66,SC,BSP,5650,0,5650,3.12,202689,89.28,6637
2016,1,Mekliganj,5,None of the Above,,,,NOTA,2331,2,2333,1.29,202689,89.28,6637
2016,1,Mekliganj,6,PRAMILA ROY,F,50,SC,SUCI,2087,3,2090,1.15,202689,89.28,6637
2016,1,Mekliganj,7,RATAN BARMAN,M,51,SC,AMB,1809,0,1809,1,202689,89.28,6637
2016,1,Mekliganj,8,GOLAPI ROY,F,29,SC,IND,955,0,955,0.53,202689,89.28,6637
2016,1,Mekliganj,9,DIPEN ROY,M,25,SC,IND,913,1,914,0.51,202689,89.28,6637
2016,1,Mekliganj,10,BINOD ROY,M,42,SC,KPPU,845,0,845,0.47,202689,89.28,6637
2016,2,Mathabhanga,1,BINAY KRISHNA BARMAN,M,55,SC,AITC,95913,470,96383,48.1,229622,87.27,31918
2016,2,Mathabhanga,2,KHAGEN CHANDRA BARMAN,M,53,SC,CPM,63761,704,64465,32.17,229622,87.27,31918
2016,2,Mathabhanga,3,SUSHIL BARMAN,M,48,SC,BJP,31205,53,31258,15.6,229622,87.27,31918
2016,2,Mathabhanga,4,None of the Above,,,,NOTA,1971,9,1980,0.99,229622,87.27,31918
2016,2,Mathabhanga,5,KANGSA RAJ BARMAN,M,47,SC,KPPU,1759,0,1759,0.88,229622,87.27,31918
2016,2,Mathabhanga,6,HAREKRISHNA SARKAR,M,44,SC,IND,1353,0,1353,0.68,229622,87.27,31918
2016,2,Mathabhanga,7,PIYARI MOHON BARMAN,M,46,SC,IND,1120,0,1120,0.56,229622,87.27,31918
2016,2,Mathabhanga,8,NAYAN CHAND BARMAN,M,59,SC,AMB,1037,1,1038,0.52,229622,87.27,31918
2016,2,Mathabhanga,9,MANJULA ROY,F,38,SC,SUCI,1026,3,1029,0.51,229622,87.27,31918
2016,3,Cooch Behar Uttar,1,NAGENDRA NATH ROY,M,59,SC,AIFB,96681,948,97629,43.63,258722,86.49,12293
2016,3,Cooch Behar Uttar,2,PARIMAL BARMAN,M,39,SC,AITC,84782,554,85336,38.14,258722,86.49,12293
2016,3,Cooch Behar Uttar,3,SUKUMAR ROY,M,48,SC,BJP,29952,73,30025,13.42,258722,86.49,12293
2016,3,Cooch Behar Uttar,4,None of the Above,,,,NOTA,2641,8,2649,1.18,258722,86.49,12293
2016,3,Cooch Behar Uttar,5,PRAFULLA KUMAR DAS,M,56,SC,IND,1843,0,1843,0.82,258722,86.49,12293
2016,3,Cooch Behar Uttar,6,GOPAL ROY,M,56,SC,IND,1762,3,1765,0.79,258722,86.49,12293
2016,3,Cooch Behar Uttar,7,ANILCHANDRA ROY,M,47,SC,SUCI,1730,1,1731,0.77,258722,86.49,12293
2016,3,Cooch Behar Uttar,8,HARIBALA RAY,M,66,SC,AMB,1503,4,1507,0.67,258722,86.49,12293
2016,3,Cooch Behar Uttar,9,NARESH CHANDRA ROY,M,43,SC,IND,1286,0,1286,0.57,258722,86.49,12293
2016,4,Cooch Behar Dakshin,1,MIHIR GOSWAMI,M,62,GEN,AITC,82317,532,82849,46.24,213162,84.05,18195
2016,4,Cooch Behar Dakshin,2,DEBASIS BANIK,M,58,GEN,AIFB,63385,1269,64654,36.08,213162,84.05,18195
2016,4,Cooch Behar Dakshin,3,NIKHIL RANJAN DEY,M,58,GEN,BJP,18108,68,18176,10.14,213162,84.05,18195
2016,4,Cooch Behar Dakshin,4,MAYA MAJUMDER,F,45,SC,BSP,5197,0,5197,2.9,213162,84.05,18195
2016,4,Cooch Behar Dakshin,5,AMITA DAS,F,49,GEN,AMB,2702,1,2703,1.51,213162,84.05,18195
2016,4,Cooch Behar Dakshin,6,None of the Above,,,,NOTA,2474,15,2489,1.39,213162,84.05,18195
2016,4,Cooch Behar Dakshin,7,NAZMA KHANDAKAR,F,56,GEN,SUCI,1667,11,1678,0.94,213162,84.05,18195
2016,4,Cooch Behar Dakshin,8,AKIK HOSSAIN CHOWDHURY,M,46,GEN,KPPU,1427,0,1427,0.8,213162,84.05,18195
2016,5,Sitalkuchi,1,HITEN BARMAN,M,66,SC,AITC,101360,287,101647,44.18,261348,88.03,15483
2016,5,Sitalkuchi,2,NAMADIPTI ADHIKARY,F,48,SC,CPM,85746,418,86164,37.45,261348,88.03,15483
2016,5,Sitalkuchi,3,BAREN CHANDRA BARMAN,M,42,SC,BJP,27325,22,27347,11.89,261348,88.03,15483
2016,5,Sitalkuchi,4,PREMANANDA BARMAN,M,45,SC,KPPU,4953,0,4953,2.15,261348,88.03,15483
2016,5,Sitalkuchi,5,JAGADISH ADHIKARI,M,49,SC,SUCI,2267,0,2267,0.99,261348,88.03,15483
2016,5,Sitalkuchi,6,GIRINDRA NATH BARMAN,M,73,SC,BSP,2232,3,2235,0.97,261348,88.03,15483
2016,5,Sitalkuchi,7,None of the Above,,,,NOTA,2103,3,2106,0.92,261348,88.03,15483
2016,5,Sitalkuchi,8,SUBODH BARMAN,M,59,SC,AMB,1838,0,1838,0.8,261348,88.03,15483
