year,ac_number,constituency_name,position,candidate,sex,age,category,party,votes_general,votes_postal,votes,vote_share_pct,total_electors,turnout_pct,margin
2011,276,Durgapur Purba,1,DR. NIKHIL KUMAR BANERJEE,M,62,GEN,AITC,86910,140,87050,50.32,202449,85.45,8566
2011,276,Durgapur Purba,2,ALPANA CHOWDHURY,F,58,GEN,CPM,78285,199,78484,45.37,202449,85.45,8566
2011,276,Durgapur Purba,3,LAKSHMAN GHORUI,M,39,GEN,BJP,7447,2,7449,4.31,202449,85.45,8566
2011,277,Durgapur paschim,1,APURBA MUKHERJEE,M,56,GEN,AITC,92341,113,92454,51.94,209944,84.79,17006
2011,277,Durgapur paschim,2,BIPRENDU CHAKRABORTY,M,60,GEN,CPM,75284,164,75448,42.38,209944,84.79,17006
2011,277,Durgapur paschim,3,KALYAN DUBEY,M,40,GEN,BJP,5433,1,5434,3.05,209944,84.79,17006
2011,277,Durgapur paschim,4,SUNIL YADAB,M,34,GEN,JD(U),2859,0,2859,1.61,209944,84.79,17006
2011,277,Durgapur paschim,5,SANDIP SARKAR,M,45,SC,BSP,1812,1,1813,1.02,209944,84.79,17006
2011,278,Raniganj,1,ALI SOHRAB,M,45,GEN,AITC,73768,42,73810,47.83,197129,78.28,1751
2011,278,Raniganj,2,RUNU DUTTA,M,57,GEN,CPM,71765,294,72059,46.7,197129,78.28,1751
2011,278,Raniganj,3,SHOBHAPATI SINGH,M,50,GEN,BJP,5423,0,5423,3.51,197129,78.28,1751
2011,278,Raniganj,4,RAJKUMAR PASWAN,M,41,GEN,JD(U),3016,0,3016,1.95,197129,78.28,1751
2011,279,Jamuria,1,JAHANARA KHAN,F,45,GEN,CPM,72296,115,72411,52.82,175316,78.2,13873
2011,279,Jamuria,2,PRABHAT KUMAR CHATTERJEE,M,59,GEN,AITC,58495,43,58538,42.7,175316,78.2,13873
2011,279,Jamuria,3,PRAMOD PATHAK,M,48,GEN,BJP,6146,0,6146,4.48,175316,78.2,13873
2011,280,Asansol Dakshin,1,TAPAS BANERJEE,M,57,GEN,AITC,89540,105,89645,55.75,204435,78.66,28541
2011,280,Asansol Dakshin,2,ASHOK KUMAR MUKHERJEE,M,65,GEN,CPM,60910,194,61104,38,204435,78.66,28541
2011,280,Asansol Dakshin,3,PAWAN KUMAR SINGH,M,47,GEN,BJP,6705,1,6706,4.17,204435,78.66,28541
2011,280,Asansol Dakshin,4,NIRAJ LAL YADAV,M,33,GEN,JD(U),3356,0,3356,2.09,204435,78.66,28541
2011,281,Asansol Uttar,1,GHATAK MOLOY,M,56,GEN,AITC,95867,144,96011,62.14,201174,76.81,47793
2011,281,Asansol Uttar,2,RANU ROYCHOWDHURY,F,52,GEN,CPM,47984,234,48218,31.21,201174,76.81,47793
2011,281,Asansol Uttar,3,MADAN MOHAN CHOUBEY,M,35,GEN,BJP,6747,3,6750,4.37,201174,76.81,47793
2011,281,Asansol Uttar,4,BIJOY PRASAD SINGH,M,52,GEN,JD(U),3536,0,3536,2.29,201174,76.81,47793
2011,282,Kulti,1,UJJAL CHATTERJEE,M,52,GEN,AITC,77517,93,77610,56.09,187988,73.6,28566
2011,282,Kulti,2,ACHARYA MANIKLAL,M,65,GEN,AIFB,48957,87,49044,35.45,187988,73.6,28566
2011,282,Kulti,3,VIVEKANANDA BHATTACHARJEE,M,57,GEN,BJP,5664,2,5666,4.1,187988,73.6,28566
2011,282,Kulti,4,SUBHASH SINGH,M,48,GEN,JD(U),3566,1,3567,2.58,187988,73.6,28566
2011,282,Kulti,5,SINGRAI MARANDI,M,64,ST,JMM,2467,1,2468,1.78,187988,73.6,28566
2011,283,Barbani,1,BIDHAN UPADHYAY,M,41,GEN,AITC,78409,219,78628,52.92,185113,80.26,20577
2011,283,Barbani,2,ABHAS RAYCHAUDHURI,M,42,GEN,CPM,57806,245,58051,39.07,185113,80.26,20577
2011,283,Barbani,3,BISWANATH ROY,M,53,GEN,BJP,4977,3,4980,3.35,185113,80.26,20577
2011,283,Barbani,4,DINESH KARMAKAR,M,38,GEN,IND,3332,0,3332,2.24,185113,80.26,20577
2011,283,Barbani,5,AMAL MONDAL,M,33,SC,JMM,2623,0,2623,1.77,185113,80.26,20577
2011,283,Barbani,6,ABHISHEK KUMAR SINGH,M,44,GEN,JD(U),964,0,964,0.65,185113,80.26,20577
2011,284,Dubrajpur,1,BIJOY BAGDI,M,54,SC,AIFB,74978,369,75347,47.67,181999,86.85,2713
2011,284,Dubrajpur,2,SANTOSHI SAHA,F,32,SC,AITC,72357,277,72634,45.95,181999,86.85,2713
2011,284,Dubrajpur,3,PALTU PADA DHIBAR,M,49,SC,BJP,10069,14,10083,6.38,181999,86.85,2713
2011,285,Suri,1,SWAPAN KANTI GHOSH,M,47,GEN,AITC,87291,953,88244,51.57,199153,85.93,19117
2011,285,Suri,2,ABDUL GAFFAR,M,66,GEN,CPM,68274,853,69127,40.4,199153,85.93,19117
2011,285,Suri,3,PARTHA DE,M,49,GEN,BJP,6617,32,6649,3.89,199153,85.93,19117
2011,285,Suri,4,SK.MANIRUDDIN,M,42,GEN,IND,3926,0,3926,2.29,199153,85.93,19117
2011,285,Suri,5,UJJWAL KUMAR SOW MONDAL,M,38,SC,IND,2009,0,2009,1.17,199153,85.93,19117
2011,285,Suri,6,RABILAL HEMBRAM,M,26,ST,IND,1167,1,1168,0.68,199153,85.93,19117
2011,286,Bolpur,1,CHANDRA NATH SINHA,M,48,GEN,AITC,88777,617,89394,50.51,201791,87.71,16627
2011,286,Bolpur,2,TAPAN HORE,M,64,GEN,RSP,72242,525,72767,41.11,201791,87.71,16627
2011,286,Bolpur,3,GHOSH DILIP,M,48,GEN,BJP,6365,16,6381,3.61,201791,87.71,16627
