"AC Name","AC No.","Type","District","Winning Candidate","Party","Total Electors","Total Votes","Poll%","Margin","Margin %"
Mathabhanga,2,SC,Coochbehar,Nishith Pramanik,Bharatiya Janata Party,248757,240932,96.9 %,57090,23.7%
Matiaburz,157,GEN,South_24_parganas,Abdul Khaleque Molla,All India Trinamool Congress,189494,178383,94.1 %,87879,49.3%
Matigara-Naxalbari,25,SC,Darjeeling,Anandamay Barman,Bharatiya Janata Party,268480,249174,92.8 %,104265,41.8%
Maynaguri,16,SC,Jalpaiguri,Dalim Chandra Roy,Bharatiya Janata Party,258545,249317,96.4 %,56503,22.7%
Mayureswar,290,GEN,Birbhum,Dudh Kumar Mondal,Bharatiya Janata Party,225874,211017,93.4 %,21002,10.0%
Medinipur,236,GEN,Paschim_medinipur,Sankar Kumar Guchhait,Bharatiya Janata Party,260295,242458,93.1 %,38747,16.0%
Mekliganj,1,SC,Coochbehar,Dadhiram Ray,Bharatiya Janata Party,224413,216733,96.6 %,29584,13.6%
Memari,265,GEN,Purba_bardhaman,Manab Guha,Bharatiya Janata Party,239601,226263,94.4 %,7106,3.1%
Minakhan,122,SC,North_24_parganas,Usha Rani Mondal,All India Trinamool Congress,222011,213232,96.0 %,32292,15.1%
Monteswar,263,GEN,Purba_bardhaman,Saikat Panja,Bharatiya Janata Party,216764,202805,93.6 %,14798,7.3%
Mothabari,52,GEN,Malda,Islam Md Najrul,All India Trinamool Congress,169347,160850,95.0 %,10496,6.5%
Moyna,206,GEN,Purbo_medinipur,Ashoke Dinda,Bharatiya Janata Party,264971,245272,92.6 %,16241,6.6%
Murarai,294,GEN,Birbhum,Dr. Mosarraf Hossain,All India Trinamool Congress,252004,241773,95.9 %,37705,15.6%
Murshidabad,64,GEN,Murshidabad,Gouri Sankar Ghosh,Bharatiya Janata Party,248269,236092,95.1 %,31521,13.4%
Nabadwip,84,GEN,Nadia,Srutisekhar Goswami,Bharatiya Janata Party,230011,217165,94.4 %,21444,9.9%
Nabagram,65,SC,Murshidabad,Dilip Saha,Bharatiya Janata Party,243025,219697,90.4 %,5919,2.7%
Nagrakata,21,ST,Jalpaiguri,Puna Bhengra,Bharatiya Janata Party,220118,201076,91.3 %,25858,12.9%
Naihati,104,GEN,North_24_parganas,Sumitro Chatterjee,Bharatiya Janata Party,170581,156477,91.7 %,10430,6.7%
Nakashipara,81,GEN,Nadia,Santanu Dey,Bharatiya Janata Party,218669,204047,93.3 %,17327,8.5%
Nalhati,293,GEN,Birbhum,Rajendra Prasad Singh(RAJU SINGH),All India Trinamool Congress,231681,220986,95.4 %,13446,6.1%
Nandakumar,207,GEN,Purbo_medinipur,Khanra Nirmal,Bharatiya Janata Party,264437,248118,93.8 %,30603,12.3%
Nandigram,210,GEN,Purbo_medinipur,Adhikari Suvendu,Bharatiya Janata Party,266415,251803,94.5 %,9665,3.8%
Nanoor,287,SC,Birbhum,Bidhan Chandra Majhi,All India Trinamool Congress,269082,251254,93.4 %,8122,3.2%
Naoda,74,GEN,Murshidabad,Humayun Kabir,Aam Janata Unnayan Party,235737,220482,93.5 %,27943,12.7%
Narayangarh,225,GEN,Paschim_medinipur,Giri Ramaprasad,Bharatiya Janata Party,239064,223892,93.7 %,20367,9.1%
Natabari,8,GEN,Coochbehar,Girija Shankar Ray,Bharatiya Janata Party,239923,231603,96.5 %,34613,14.9%
